組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
AAACDC,1-3-2,34,0.16,1-2-3,34,0.16,2-1-3,12,0.057,212
AAACDD,1-2-3,7,0.206,1-3-2,6,0.176,1-2-4,4,0.118,34
AAADAB,1-5-2,1,0.5,1-2-5,1,0.5,---,0,0.0,2
AAADAC,1-3-6,2,0.133,1-3-5,2,0.133,1-2-3,2,0.133,15
AAADAD,1-2-3,13,0.133,1-2-5,12,0.122,1-3-5,11,0.112,98
AAADBB,1-2-3,9,0.191,1-2-5,4,0.085,1-3-2,4,0.085,47
AAADBC,1-2-3,29,0.17,1-3-2,20,0.117,1-2-5,11,0.064,171
AAADBD,1-3-2,34,0.198,1-2-3,29,0.169,1-3-5,10,0.058,172
AAADCA,1-3-6,3,0.13,1-2-5,2,0.087,1-3-2,2,0.087,23
AAADCB,1-2-3,21,0.125,1-3-2,17,0.101,3-1-2,8,0.048,168
AAADCC,1-3-2,26,0.193,1-2-3,23,0.17,2-1-3,9,0.067,135
AAADCD,1-3-2,6,0.207,1-2-3,5,0.172,1-3-4,3,0.103,29
AAADDA,1-3-2,11,0.124,1-2-3,10,0.112,1-2-6,10,0.112,89
AAADDB,1-3-2,17,0.128,1-2-3,16,0.12,2-1-3,8,0.06,133
AAADDC,1-3-2,6,0.231,1-2-3,5,0.192,3-2-1,2,0.077,26
AAADDD,1-2-4,1,1.0,---,0,0.0,---,0,0.0,1
AAADDS,1-3-6,2,0.167,1-2-6,2,0.167,3-6-1,1,0.083,12
AAADSD,1-3-5,2,0.25,1-2-3,1,0.125,5-2-3,1,0.125,8
AAASDD,1-4-2,2,0.25,1-3-4,2,0.25,3-1-4,1,0.125,8
AABAAD,1-2-4,2,0.4,4-5-1,1,0.2,2-1-5,1,0.2,5
AABABD,1-2-4,17,0.145,1-3-4,9,0.077,1-4-3,8,0.068,117
AABACC,1-2-3,13,0.141,1-4-2,10,0.109,1-2-4,7,0.076,92
AABACD,1-2-4,54,0.119,1-2-3,44,0.097,1-4-2,41,0.091,453
AABADA,1-4-2,1,1.0,---,0,0.0,---,0,0.0,1
AABADB,1-2-3,11,0.138,1-3-2,7,0.088,1-2-4,7,0.088,80
AABADC,1-2-4,32,0.124,1-2-3,27,0.105,1-4-2,25,0.097,258
AABADD,1-2-4,42,0.169,1-2-3,24,0.096,1-4-2,18,0.072,249
AABBAC,1-5-2,1,1.0,---,0,0.0,---,0,0.0,1
AABBAD,1-2-3,16,0.154,1-2-5,10,0.096,1-3-2,7,0.067,104
AABBBB,2-1-4,2,0.222,6-1-2,1,0.111,4-3-6,1,0.111,9
AABBBC,1-2-3,33,0.131,1-2-4,18,0.072,1-2-5,16,0.064,251
AABBBD,1-2-3,122,0.144,1-2-4,81,0.096,1-3-2,58,0.069,845
AABBCA,1-2-3,1,1.0,---,0,0.0,---,0,0.0,1
AABBCB,1-2-3,18,0.098,1-3-2,13,0.071,1-4-2,13,0.071,183
AABBCC,1-2-3,120,0.132,1-2-4,101,0.111,1-3-2,68,0.075,907
AABBCD,1-2-3,73,0.123,1-2-4,67,0.113,1-3-2,50,0.084,593
AABBDA,1-2-3,8,0.113,2-1-3,5,0.07,1-2-6,5,0.07,71
AABBDB,1-2-3,79,0.141,1-2-4,59,0.105,1-3-2,46,0.082,562
