組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
DBCBSC,2-5-3,1,0.1,6-4-5,1,0.1,5-3-6,1,0.1,10
DBCBSD,5-2-6,1,0.333,4-2-5,1,0.333,2-4-3,1,0.333,3
DBCCAA,5-1-6,2,0.091,4-5-6,2,0.091,1-3-5,1,0.045,22
DBCCAS,1-2-3,2,0.074,2-4-6,2,0.074,6-5-2,1,0.037,27
DBCCBS,6-3-2,1,0.059,5-6-3,1,0.059,5-6-2,1,0.059,17
DBCCCS,1-4-6,1,1.0,---,0,0.0,---,0,0.0,1
DBCCSA,1-3-2,2,0.067,1-2-5,2,0.067,2-5-1,2,0.067,30
DBCCSB,2-1-6,2,0.167,3-5-6,2,0.167,5-2-3,2,0.167,12
DBCCSC,2-3-4,1,1.0,---,0,0.0,---,0,0.0,1
DBCCSS,5-1-3,1,0.333,2-6-5,1,0.333,1-2-3,1,0.333,3
DBCDAS,5-1-2,1,0.125,2-5-3,1,0.125,2-5-1,1,0.125,8
DBCDBS,3-2-6,1,1.0,---,0,0.0,---,0,0.0,1
DBCDSA,1-3-2,2,0.154,6-5-1,1,0.077,5-6-2,1,0.077,13
DBCDSS,2-3-5,1,0.143,5-3-6,1,0.143,5-2-6,1,0.143,7
DBCSAA,5-1-4,1,0.2,3-4-2,1,0.2,2-4-5,1,0.2,5
DBCSAB,4-5-6,2,0.08,4-5-2,2,0.08,4-2-3,2,0.08,25
DBCSAC,4-2-3,3,0.091,4-2-5,2,0.061,4-3-2,2,0.061,33
DBCSAD,4-1-5,2,0.125,4-2-5,2,0.125,2-1-4,1,0.062,16
DBCSBA,4-5-6,2,0.08,1-3-2,1,0.04,1-2-4,1,0.04,25
DBCSBB,4-2-5,6,0.105,4-2-3,4,0.07,4-5-2,3,0.053,57
DBCSBC,1-3-4,1,0.1,2-4-1,1,0.1,2-4-5,1,0.1,10
DBCSBD,4-5-1,1,1.0,---,0,0.0,---,0,0.0,1
DBCSCA,4-1-6,3,0.125,4-2-3,3,0.125,3-4-6,2,0.083,24
DBCSCB,1-3-4,1,0.091,1-4-3,1,0.091,2-1-5,1,0.091,11
DBCSCS,1-4-2,2,0.222,4-2-6,1,0.111,6-1-4,1,0.111,9
DBCSDA,1-4-3,2,0.167,4-2-3,1,0.083,3-1-6,1,0.083,12
DBCSDB,1-4-6,1,0.5,1-6-5,1,0.5,---,0,0.0,2
DBCSDS,4-2-6,2,0.286,6-3-4,1,0.143,6-1-3,1,0.143,7
DBCSSC,5-4-6,1,0.167,4-5-6,1,0.167,4-5-3,1,0.167,6
DBCSSD,4-2-5,3,0.2,5-4-1,2,0.133,1-2-4,1,0.067,15
DBDAAA,1-2-5,3,0.079,1-3-4,2,0.053,1-2-3,2,0.053,38
DBDAAB,4-2-5,2,0.182,2-6-5,2,0.182,2-4-5,2,0.182,11
DBDAAS,6-5-1,2,0.286,2-1-6,1,0.143,2-4-1,1,0.143,7
DBDABA,1-2-4,2,0.154,4-1-5,1,0.077,4-3-5,1,0.077,13
DBDABS,6-2-4,2,0.095,2-1-6,2,0.095,4-2-3,1,0.048,21
DBDACS,6-1-2,1,0.143,6-5-4,1,0.143,6-4-1,1,0.143,7
DBDADS,1-2-6,1,1.0,---,0,0.0,---,0,0.0,1
DBDASA,5-3-4,2,0.182,4-5-6,2,0.182,5-4-1,1,0.091,11
DBDASB,2-1-4,1,0.125,1-5-4,1,0.125,2-4-1,1,0.125,8
DBDASC,5-2-6,1,0.333,4-2-5,1,0.333,2-4-5,1,0.333,3
DBDASS,4-2-5,1,1.0,---,0,0.0,---,0,0.0,1
DBDBAA,6-5-4,1,0.062,6-1-5,1,0.062,5-6-3,1,0.062,16
DBDBAS,5-6-3,2,0.091,6-2-5,1,0.045,6-1-5,1,0.045,22
DBDBBA,1-5-3,1,1.0,---,0,0.0,---,0,0.0,1
DBDBBS,2-4-6,1,0.125,2-3-5,1,0.125,3-1-6,1,0.125,8
DBDBSA,3-5-2,2,0.111,4-5-6,1,0.056,6-5-4,1,0.056,18
DBDBSB,5-6-2,2,0.222,5-1-2,1,0.111,2-5-4,1,0.111,9
DBDBSS,3-5-6,1,0.5,4-2-6,1,0.5,---,0,0.0,2
DBDCAS,6-1-3,1,0.333,2-5-1,1,0.333,1-2-3,1,0.333,3
DBDCBS,5-1-3,1,1.0,---,0,0.0,---,0,0.0,1
DBDCSA,6-3-1,1,0.167,6-1-2,1,0.167,5-1-3,1,0.167,6
DBDCSS,6-5-2,1,0.25,5-2-6,1,0.25,4-6-1,1,0.25,4
DBDDAS,5-6-1,1,1.0,---,0,0.0,---,0,0.0,1
DBDDSA,5-6-2,1,1.0,---,0,0.0,---,0,0.0,1
DBDDSS,5-6-4,1,1.0,---,0,0.0,---,0,0.0,1
DBDSAA,1-6-4,1,0.167,2-5-4,1,0.167,2-3-4,1,0.167,6
DBDSAB,4-5-6,2,0.118,4-5-2,2,0.118,5-2-6,1,0.059,17
DBDSAC,5-2-1,1,0.333,2-5-1,1,0.333,1-4-6,1,0.333,3
DBDSAD,4-5-3,1,1.0,---,0,0.0,---,0,0.0,1
DBDSBA,2-4-5,2,0.118,2-4-6,2,0.118,4-1-2,2,0.118,17
DBDSBB,4-5-2,2,0.286,4-3-2,1,0.143,3-2-6,1,0.143,7
DBDSBS,6-2-1,1,0.2,4-6-1,1,0.2,4-5-2,1,0.2,5
DBDSCA,4-2-6,1,0.167,4-2-1,1,0.167,2-1-6,1,0.167,6
DBDSCB,4-2-6,1,1.0,---,0,0.0,---,0,0.0,1
DBDSCS,2-6-4,2,0.5,2-4-6,1,0.25,6-4-2,1,0.25,4
DBDSDA,4-6-5,1,0.5,4-2-6,1,0.5,---,0,0.0,2
DBDSSB,4-5-2,1,0.25,2-4-3,1,0.25,1-6-3,1,0.25,4
DBDSSC,5-4-2,1,0.25,1-4-5,1,0.25,1-4-2,1,0.25,4
DBDSSD,4-2-3,1,0.2,5-4-2,1,0.2,5-4-1,1,0.2,5
DBSAAC,4-5-3,1,0.333,3-5-2,1,0.333,3-1-2,1,0.333,3
DBSAAD,3-4-5,7,0.194,3-1-5,2,0.056,1-5-2,2,0.056,36
DBSABB,3-4-5,2,0.5,4-6-3,1,0.25,3-2-5,1,0.25,4
DBSABC,4-3-5,2,0.095,3-4-1,2,0.095,3-2-5,2,0.095,21
DBSABD,3-4-5,3,0.067,4-3-5,3,0.067,1-3-4,3,0.067,45
DBSACA,6-2-5,1,0.2,4-6-1,1,0.2,3-6-4,1,0.2,5
DBSACB,3-4-2,2,0.077,3-2-1,2,0.077,3-1-6,2,0.077,26
DBSACC,1-3-4,4,0.108,2-3-4,3,0.081,3-1-4,3,0.081,37
DBSACD,2-3-4,2,0.222,4-5-1,1,0.111,3-2-4,1,0.111,9
DBSACS,3-6-1,1,1.0,---,0,0.0,---,0,0.0,1
DBSADA,1-2-3,4,0.143,4-3-2,3,0.107,3-6-2,2,0.071,28
DBSADB,4-2-6,3,0.086,2-3-1,3,0.086,1-3-4,2,0.057,35
DBSADC,2-3-4,2,0.25,4-6-2,1,0.125,4-1-5,1,0.125,8
DBSADD,4-2-3,1,0.333,3-2-6,1,0.333,3-1-2,1,0.333,3
DBSADS,4-2-6,1,0.25,6-1-4,1,0.25,4-1-6,1,0.25,4
DBSASD,4-5-3,1,0.5,2-5-4,1,0.5,---,0,0.0,2
DBSBAB,5-1-4,1,0.25,4-3-1,1,0.25,3-5-4,1,0.25,4
DBSBAC,3-1-5,4,0.103,3-2-4,4,0.103,3-4-5,4,0.103,39
DBSBAD,2-5-3,3,0.077,3-4-5,3,0.077,3-5-2,3,0.077,39
DBSBBA,3-6-2,2,0.167,6-3-2,1,0.083,6-3-1,1,0.083,12
DBSBBB,2-3-4,4,0.085,3-2-4,3,0.064,3-4-2,3,0.064,47
DBSBBC,3-2-5,3,0.059,3-2-6,3,0.059,3-4-5,3,0.059,51
DBSBBD,2-3-1,2,0.1,1-2-3,2,0.1,5-3-2,2,0.1,20
DBSBCA,1-3-5,2,0.069,1-3-2,2,0.069,2-3-4,2,0.069,29
DBSBCB,3-4-2,3,0.07,3-2-4,3,0.07,2-3-4,3,0.07,43
DBSBCC,1-2-3,2,0.222,3-2-4,1,0.111,4-2-5,1,0.111,9
DBSBCD,3-4-5,1,1.0,---,0,0.0,---,0,0.0,1
DBSBCS,6-5-3,1,1.0,---,0,0.0,---,0,0.0,1
DBSBDA,3-6-4,4,0.108,1-3-6,3,0.081,3-1-6,3,0.081,37
DBSBDB,3-4-6,1,0.091,5-2-3,1,0.091,4-3-6,1,0.091,11
DBSBDC,3-2-4,1,1.0,---,0,0.0,---,0,0.0,1
DBSBDD,3-4-5,1,0.5,2-4-1,1,0.5,---,0,0.0,2
DBSBDS,3-1-2,2,0.167,2-6-1,1,0.083,2-3-4,1,0.083,12
DBSBSC,1-5-2,1,1.0,---,0,0.0,---,0,0.0,1
DBSBSD,5-3-4,2,0.154,4-3-5,2,0.154,5-2-4,1,0.077,13
DBSCAA,3-4-1,1,0.25,3-2-5,1,0.25,2-5-1,1,0.25,4
DBSCAB,3-2-5,6,0.261,3-5-2,2,0.087,3-2-6,2,0.087,23
DBSCAC,3-2-5,5,0.172,2-5-3,2,0.069,1-3-2,2,0.069,29
DBSCAD,1-2-3,1,0.111,1-3-2,1,0.111,1-4-5,1,0.111,9
DBSCBA,1-3-5,2,0.067,3-1-4,2,0.067,3-5-1,2,0.067,30
DBSCBB,3-2-5,5,0.098,3-2-4,4,0.078,3-2-1,4,0.078,51
DBSCBC,3-5-4,2,0.143,3-2-4,1,0.071,5-3-4,1,0.071,14
DBSCBD,3-2-5,1,0.333,3-2-4,1,0.333,1-3-2,1,0.333,3
DBSCBS,6-3-2,1,1.0,---,0,0.0,---,0,0.0,1
DBSCCA,2-4-1,2,0.059,2-1-3,2,0.059,1-3-6,2,0.059,34
DBSCCB,3-1-5,2,0.2,2-3-6,1,0.1,2-3-5,1,0.1,10
DBSCCC,2-3-1,1,1.0,---,0,0.0,---,0,0.0,1
DBSCCS,6-2-1,1,0.143,3-6-2,1,0.143,3-4-6,1,0.143,7
DBSCDA,3-6-4,3,0.375,3-1-2,1,0.125,6-3-5,1,0.125,8
DBSCDB,3-2-4,1,0.5,3-2-1,1,0.5,---,0,0.0,2
DBSCDS,3-1-2,2,0.167,3-6-5,2,0.167,3-2-4,1,0.083,12
DBSCSB,5-4-3,1,0.5,2-4-5,1,0.5,---,0,0.0,2
DBSCSC,5-6-1,1,0.143,5-3-2,1,0.143,3-5-4,1,0.143,7
DBSCSD,5-3-2,2,0.2,1-2-5,1,0.1,3-6-4,1,0.1,10
DBSDAA,3-5-6,2,0.105,3-5-2,2,0.105,2-3-5,2,0.105,19
DBSDAB,3-5-6,5,0.152,3-2-5,3,0.091,1-2-3,2,0.061,33
DBSDAC,6-1-3,1,0.167,3-4-2,1,0.167,2-3-5,1,0.167,6
DBSDAD,3-2-4,1,1.0,---,0,0.0,---,0,0.0,1
DBSDBA,3-5-6,3,0.158,3-6-4,1,0.053,6-1-2,1,0.053,19
DBSDBB,3-1-2,2,0.2,3-5-6,1,0.1,3-5-4,1,0.1,10
DBSDBC,3-1-2,1,0.333,3-1-5,1,0.333,3-5-2,1,0.333,3
DBSDBS,3-2-6,2,0.222,6-5-3,1,0.111,6-5-2,1,0.111,9
DBSDCA,3-1-6,2,0.2,2-1-3,2,0.2,3-6-4,1,0.1,10
DBSDCS,3-6-2,2,0.182,6-5-1,1,0.091,6-1-5,1,0.091,11
DBSDDS,6-3-5,1,1.0,---,0,0.0,---,0,0.0,1
DBSDSA,3-6-5,1,1.0,---,0,0.0,---,0,0.0,1
DBSDSB,5-2-3,2,0.25,2-1-3,1,0.125,5-1-3,1,0.125,8
DBSDSC,3-5-1,1,0.091,6-2-1,1,0.091,5-2-4,1,0.091,11
DBSDSD,5-3-2,1,0.2,5-2-1,1,0.2,5-1-3,1,0.2,5
DBSSBD,2-3-4,2,0.154,3-4-2,2,0.154,1-3-5,1,0.077,13
DBSSCB,4-5-2,1,0.25,4-3-5,1,0.25,4-3-2,1,0.25,4
DBSSCC,3-4-5,2,0.25,2-3-4,1,0.125,4-3-2,1,0.125,8
DBSSCD,3-4-2,3,0.333,4-3-1,1,0.111,3-6-4,1,0.111,9
DBSSDA,4-3-1,1,0.333,3-4-6,1,0.333,2-3-4,1,0.333,3
DBSSDB,4-3-6,1,0.125,4-2-3,1,0.125,4-1-2,1,0.125,8
DBSSDC,3-2-6,1,0.143,3-2-4,1,0.143,2-4-3,1,0.143,7
DBSSDD,4-3-5,1,0.25,4-2-6,1,0.25,4-2-1,1,0.25,4
DCAAAA,3-4-5,1,0.333,2-4-5,1,0.333,1-5-3,1,0.333,3
DCAAAB,3-4-5,4,0.093,4-5-2,3,0.07,2-3-4,2,0.047,43
DCAAAC,3-4-5,4,0.058,1-5-3,4,0.058,1-4-3,4,0.058,69
DCAAAD,3-4-5,5,0.217,3-1-4,2,0.087,3-5-2,2,0.087,23
DCAABA,4-5-6,3,0.049,4-3-5,3,0.049,3-6-4,3,0.049,61
DCAABB,3-2-5,3,0.04,3-4-1,3,0.04,1-4-3,3,0.04,75
DCAABC,2-5-3,3,0.167,4-5-3,3,0.167,3-5-4,2,0.111,18
DCAABS,6-2-3,1,0.333,4-6-3,1,0.333,4-1-3,1,0.333,3
DCAACA,3-4-2,4,0.06,1-4-3,4,0.06,2-1-3,4,0.06,67
DCAACB,2-4-3,2,0.167,1-4-2,2,0.167,2-1-3,1,0.083,12
DCAACS,4-6-1,2,0.2,1-6-3,1,0.1,1-4-5,1,0.1,10
DCAADA,4-6-2,1,0.067,6-4-3,1,0.067,6-3-4,1,0.067,15
DCAADS,1-4-3,3,0.091,1-3-6,2,0.061,3-6-4,2,0.061,33
DCAASB,3-6-5,1,0.333,6-3-4,1,0.333,4-3-5,1,0.333,3
DCAASC,5-2-4,2,0.105,3-5-4,2,0.105,3-4-5,2,0.105,19
DCAASD,4-5-3,3,0.143,4-3-2,2,0.095,4-2-5,2,0.095,21
DCABAA,1-3-6,5,0.091,3-6-5,4,0.073,2-3-1,3,0.055,55
DCABAB,3-2-4,6,0.054,1-2-3,5,0.045,3-4-5,5,0.045,112
DCABAC,1-3-4,2,0.143,1-2-5,2,0.143,2-3-4,1,0.071,14
DCABAS,3-1-6,1,0.2,1-3-5,1,0.2,3-2-5,1,0.2,5
DCABBA,4-3-6,5,0.045,3-6-4,4,0.036,3-5-4,4,0.036,111
DCABBB,1-3-2,3,0.088,2-3-4,3,0.088,2-3-6,2,0.059,34
DCABBS,5-3-6,4,0.093,2-3-6,3,0.07,3-1-6,2,0.047,43
DCABCA,1-3-4,2,0.111,1-2-3,1,0.056,3-5-6,1,0.056,18
DCABCS,4-6-5,2,0.067,6-5-2,1,0.033,6-4-1,1,0.033,30
DCABDS,3-4-6,1,0.083,6-4-3,1,0.083,6-4-1,1,0.083,12
DCABSA,4-5-6,1,0.2,3-5-1,1,0.2,2-5-3,1,0.2,5
DCABSB,3-5-2,3,0.176,5-4-6,2,0.118,5-3-1,2,0.118,17
DCABSC,3-5-2,2,0.08,1-5-3,2,0.08,5-1-6,2,0.08,25
DCABSD,3-5-2,3,0.273,5-1-2,2,0.182,5-4-1,1,0.091,11
DCACAA,3-5-6,3,0.041,6-3-4,3,0.041,6-3-1,3,0.041,74
DCACAB,1-5-3,4,0.25,3-4-1,1,0.062,6-1-4,1,0.062,16
DCACAS,1-5-3,2,0.069,1-2-5,2,0.069,6-4-5,2,0.069,29
DCACBA,1-6-3,2,0.095,3-2-5,2,0.095,1-4-5,1,0.048,21
DCACBS,6-5-4,2,0.071,1-3-6,2,0.071,3-6-5,2,0.071,28
DCACCS,6-3-4,1,0.143,6-3-1,1,0.143,6-1-2,1,0.143,7
DCACDS,1-4-3,1,1.0,---,0,0.0,---,0,0.0,1
DCACSA,1-5-4,2,0.118,5-6-2,2,0.118,5-6-1,2,0.118,17
DCACSB,3-5-2,3,0.079,3-6-5,2,0.053,3-5-4,2,0.053,38
DCACSC,5-4-3,1,0.2,5-2-1,1,0.2,3-4-2,1,0.2,5
DCACSD,5-3-4,1,0.333,5-3-2,1,0.333,1-5-3,1,0.333,3
DCADAA,1-2-4,1,0.111,6-1-2,1,0.111,5-3-6,1,0.111,9
DCADAS,6-3-5,2,0.1,1-3-2,1,0.05,1-2-4,1,0.05,20
DCADBA,4-6-1,1,1.0,---,0,0.0,---,0,0.0,1
DCADBS,6-5-1,1,0.167,6-2-4,1,0.167,6-1-3,1,0.167,6
DCADSA,5-3-6,2,0.083,3-1-5,2,0.083,3-2-5,2,0.083,24
DCADSB,2-6-4,1,0.333,5-3-2,1,0.333,3-5-2,1,0.333,3
DCADSS,5-2-3,1,0.25,3-5-6,1,0.25,3-5-2,1,0.25,4
DCASAB,4-5-2,1,0.333,4-3-5,1,0.333,3-4-2,1,0.333,3
DCASAC,4-3-5,2,0.105,2-1-4,2,0.105,4-1-6,2,0.105,19
DCASAD,4-5-1,2,0.074,3-2-5,2,0.074,5-3-4,1,0.037,27
DCASBA,6-3-4,1,0.2,4-3-5,1,0.2,4-3-2,1,0.2,5
DCASBB,1-3-4,2,0.091,4-3-6,2,0.091,3-5-6,1,0.045,22
DCASBC,3-4-5,3,0.091,3-1-4,3,0.091,3-4-2,2,0.061,33
DCASBD,3-4-6,1,0.25,3-1-5,1,0.25,1-3-2,1,0.25,4
DCASCA,1-3-4,2,0.133,2-1-6,1,0.067,4-6-3,1,0.067,15
DCASCB,4-3-5,3,0.13,3-1-4,3,0.13,1-2-4,2,0.087,23
DCASCC,4-2-5,1,0.333,4-3-5,1,0.333,3-1-4,1,0.333,3
DCASCD,3-4-1,1,1.0,---,0,0.0,---,0,0.0,1
DCASDA,4-5-6,1,0.071,6-3-4,1,0.071,5-6-1,1,0.071,14
DCASDB,3-6-1,2,0.2,2-3-4,2,0.2,4-6-3,1,0.1,10
DCASDS,4-3-6,2,0.25,1-6-2,1,0.125,1-3-2,1,0.125,8
DCASSD,2-3-4,1,1.0,---,0,0.0,---,0,0.0,1
DCBAAA,1-4-5,3,0.06,5-3-6,3,0.06,4-1-5,2,0.04,50
DCBAAB,1-2-4,5,0.06,3-5-2,3,0.036,5-6-4,2,0.024,84
DCBAAC,2-1-4,2,0.167,6-4-1,1,0.083,4-6-3,1,0.083,12
DCBAAS,6-5-4,1,0.5,2-3-6,1,0.5,---,0,0.0,2
DCBABA,3-4-6,4,0.04,1-3-2,3,0.03,1-4-3,3,0.03,99
DCBABB,3-4-5,2,0.087,4-2-3,2,0.087,4-3-5,1,0.043,23
DCBABS,3-4-6,2,0.074,6-1-3,2,0.074,6-2-4,2,0.074,27
DCBACA,1-3-4,2,0.118,4-6-1,2,0.118,3-4-2,2,0.118,17
DCBACS,3-6-4,3,0.077,6-1-4,2,0.051,1-3-2,2,0.051,39
DCBADS,6-2-4,1,0.077,4-6-3,1,0.077,4-6-1,1,0.077,13
DCBASA,1-5-2,1,0.25,5-6-3,1,0.25,4-3-5,1,0.25,4
DCBASB,4-2-5,3,0.111,5-4-1,3,0.111,3-4-5,2,0.074,27
DCBASC,1-3-4,3,0.103,5-4-3,3,0.103,5-3-2,2,0.069,29
DCBASD,5-6-4,1,0.143,5-6-3,1,0.143,4-5-3,1,0.143,7
DCBBAA,3-6-2,4,0.041,2-3-6,4,0.041,1-2-6,4,0.041,98
DCBBAB,6-5-1,1,0.037,6-1-4,1,0.037,6-1-3,1,0.037,27
DCBBAS,5-6-4,2,0.087,2-4-6,2,0.087,2-6-5,1,0.043,23
DCBBBA,3-4-1,3,0.091,1-4-6,2,0.061,4-5-6,2,0.061,33
DCBBBB,5-4-1,1,1.0,---,0,0.0,---,0,0.0,1
DCBBBS,1-6-2,3,0.058,2-6-4,2,0.038,3-4-6,2,0.038,52
DCBBCA,3-1-4,1,0.5,1-3-6,1,0.5,---,0,0.0,2
DCBBCS,6-4-3,1,0.111,6-1-5,1,0.111,5-4-2,1,0.111,9
DCBBDS,6-3-1,1,0.5,6-1-2,1,0.5,---,0,0.0,2
DCBBSA,1-3-2,2,0.095,5-6-3,1,0.048,5-3-6,1,0.048,21
DCBBSB,1-2-3,4,0.089,4-3-5,3,0.067,5-2-4,3,0.067,45
DCBBSC,1-3-2,1,0.091,5-4-2,1,0.091,5-3-6,1,0.091,11
DCBBSD,5-2-3,1,1.0,---,0,0.0,---,0,0.0,1
DCBBSS,6-4-3,1,0.333,4-6-1,1,0.333,1-3-5,1,0.333,3
DCBCAA,3-5-1,2,0.1,3-2-6,2,0.1,1-6-5,1,0.05,20
DCBCAS,3-6-5,3,0.079,4-5-6,2,0.053,2-6-3,2,0.053,38
DCBCBS,5-3-6,1,0.091,5-2-6,1,0.091,4-6-3,1,0.091,11
DCBCSA,5-1-3,2,0.067,5-3-2,2,0.067,5-2-4,2,0.067,30
DCBCSB,3-5-6,1,0.167,3-1-5,1,0.167,2-5-6,1,0.167,6
DCBCSC,5-4-1,1,0.333,5-3-1,1,0.333,2-5-3,1,0.333,3
DCBCSS,1-4-3,1,0.2,5-4-6,1,0.2,4-2-6,1,0.2,5
DCBDAS,5-6-3,2,0.25,6-1-4,1,0.125,6-1-3,1,0.125,8
DCBDBS,1-3-2,1,1.0,---,0,0.0,---,0,0.0,1
DCBDSA,4-3-5,1,0.1,4-6-2,1,0.1,5-1-3,1,0.1,10
DCBDSS,5-6-4,1,0.167,6-5-3,1,0.167,6-1-5,1,0.167,6
DCBSAA,4-6-2,2,0.333,6-3-1,1,0.167,5-1-6,1,0.167,6
DCBSAB,4-5-2,2,0.1,4-5-6,2,0.1,5-4-3,1,0.05,20
DCBSAC,1-2-4,3,0.097,4-6-3,2,0.065,1-4-5,2,0.065,31
DCBSAD,4-5-6,2,0.286,6-4-5,1,0.143,5-4-3,1,0.143,7
DCBSBA,3-4-5,3,0.097,4-1-3,2,0.065,4-1-6,2,0.065,31
DCBSBB,4-5-6,3,0.068,1-4-3,2,0.045,1-3-4,2,0.045,44
DCBSBC,4-6-1,1,0.143,5-4-6,1,0.143,4-5-6,1,0.143,7
DCBSBD,4-5-1,1,0.333,4-3-5,1,0.333,4-3-2,1,0.333,3
DCBSBS,4-1-5,1,0.5,1-4-3,1,0.5,---,0,0.0,2
DCBSCA,4-6-5,3,0.088,4-3-6,3,0.088,4-5-6,2,0.059,34
DCBSCB,2-4-6,2,0.182,3-4-1,1,0.091,2-5-1,1,0.091,11
DCBSCC,4-5-2,1,0.5,2-3-6,1,0.5,---,0,0.0,2
DCBSCS,4-5-6,1,0.2,4-1-3,1,0.2,3-4-5,1,0.2,5
DCBSDA,4-6-2,1,0.143,4-2-3,1,0.143,3-2-4,1,0.143,7
DCBSDB,5-2-3,1,0.333,2-3-4,1,0.333,1-2-6,1,0.333,3
DCBSDS,6-4-2,2,0.25,1-3-4,1,0.125,1-4-6,1,0.125,8
DCBSSB,5-4-6,1,1.0,---,0,0.0,---,0,0.0,1
DCBSSC,1-4-3,2,0.5,5-1-2,1,0.25,1-5-3,1,0.25,4
DCBSSD,4-1-2,3,0.214,5-3-4,2,0.143,5-3-6,1,0.071,14
DCCAAA,4-6-1,5,0.106,4-2-6,3,0.064,5-1-4,3,0.064,47
DCCAAB,4-2-5,3,0.231,6-1-2,1,0.077,2-6-1,1,0.077,13
DCCAAS,6-2-1,1,0.083,6-1-2,1,0.083,4-6-5,1,0.083,12
DCCABA,4-6-2,2,0.182,2-4-5,1,0.091,6-4-5,1,0.091,11
DCCABS,1-3-6,3,0.136,1-5-2,1,0.045,1-4-2,1,0.045,22
DCCACS,4-1-6,2,0.333,2-6-3,1,0.167,6-3-1,1,0.167,6
DCCADS,6-4-2,1,0.5,6-3-4,1,0.5,---,0,0.0,2
DCCASA,5-3-6,2,0.222,2-4-3,1,0.111,1-3-5,1,0.111,9
DCCASB,1-3-5,2,0.069,2-3-5,2,0.069,4-5-2,2,0.069,29
DCCASC,2-1-4,1,0.25,4-5-1,1,0.25,2-5-6,1,0.25,4
DCCBAA,2-5-3,2,0.133,5-6-3,1,0.067,5-1-6,1,0.067,15
DCCBAS,2-6-1,3,0.111,6-5-3,1,0.037,6-1-3,1,0.037,27
DCCBBS,3-2-4,1,0.143,6-5-3,1,0.143,6-4-2,1,0.143,7
DCCBSA,1-4-5,2,0.083,5-3-1,2,0.083,1-2-5,1,0.042,24
DCCBSB,5-4-3,1,0.091,5-4-2,1,0.091,5-3-1,1,0.091,11
DCCBSS,5-4-3,2,0.286,6-4-3,1,0.143,5-6-1,1,0.143,7
DCCCAS,1-5-4,2,0.333,1-3-6,2,0.333,6-5-3,1,0.167,6
DCCCSA,5-6-1,1,0.333,1-6-4,1,0.333,1-2-5,1,0.333,3
DCCCSB,2-5-6,1,1.0,---,0,0.0,---,0,0.0,1
DCCCSS,5-2-6,2,0.2,5-6-3,2,0.2,6-4-3,1,0.1,10
DCCDAS,5-6-1,1,1.0,---,0,0.0,---,0,0.0,1
DCCDSA,1-5-3,1,0.5,5-6-2,1,0.5,---,0,0.0,2
DCCDSS,5-6-1,1,1.0,---,0,0.0,---,0,0.0,1
DCCSAA,5-6-3,2,0.182,2-3-4,1,0.091,2-5-4,1,0.091,11
DCCSAB,3-4-2,2,0.065,4-3-5,2,0.065,4-1-6,2,0.065,31
DCCSAC,4-5-2,1,0.5,2-4-3,1,0.5,---,0,0.0,2
DCCSAD,4-5-1,1,1.0,---,0,0.0,---,0,0.0,1
DCCSBA,1-4-2,2,0.143,6-2-5,1,0.071,6-2-4,1,0.071,14
DCCSBB,4-2-6,2,0.2,4-2-5,2,0.2,3-4-2,1,0.1,10
DCCSBC,4-2-3,1,0.5,1-2-4,1,0.5,---,0,0.0,2
DCCSBS,4-1-6,2,0.4,4-3-2,1,0.2,4-1-5,1,0.2,5
DCCSCA,6-4-1,1,0.333,4-3-1,1,0.333,1-3-6,1,0.333,3
DCCSCB,2-1-5,1,1.0,---,0,0.0,---,0,0.0,1
DCCSCS,3-4-6,1,0.167,4-6-3,1,0.167,4-1-5,1,0.167,6
DCCSDB,1-3-6,1,1.0,---,0,0.0,---,0,0.0,1
DCCSDS,4-3-6,1,0.333,4-2-6,1,0.333,4-2-3,1,0.333,3
DCCSSA,4-5-6,1,1.0,---,0,0.0,---,0,0.0,1
DCCSSB,4-3-5,1,0.167,2-4-5,1,0.167,4-5-3,1,0.167,6
DCCSSC,5-4-6,1,0.2,4-6-5,1,0.2,4-1-3,1,0.2,5
DCCSSD,4-5-3,1,0.125,5-3-4,1,0.125,4-3-5,1,0.125,8
DCDAAA,5-6-3,1,0.167,5-2-1,1,0.167,5-1-6,1,0.167,6
DCDAAS,4-1-5,1,0.125,1-5-6,1,0.125,1-4-6,1,0.125,8
DCDABS,6-1-2,1,0.2,5-6-4,1,0.2,5-6-3,1,0.2,5
DCDASA,5-1-4,2,0.2,4-6-5,1,0.1,4-2-5,1,0.1,10
DCDASB,5-6-2,1,0.167,5-4-6,1,0.167,4-5-1,1,0.167,6
DCDASC,4-5-2,1,1.0,---,0,0.0,---,0,0.0,1
DCDASS,3-6-1,1,1.0,---,0,0.0,---,0,0.0,1
DCDBAA,5-3-2,1,1.0,---,0,0.0,---,0,0.0,1
DCDBAS,6-1-2,1,0.2,5-6-3,1,0.2,5-1-2,1,0.2,5
DCDBBS,4-1-6,1,0.5,2-1-6,1,0.5,---,0,0.0,2
DCDBSA,1-5-4,1,0.5,1-4-3,1,0.5,---,0,0.0,2
DCDBSB,2-5-1,1,1.0,---,0,0.0,---,0,0.0,1
DCDBSS,4-1-6,1,0.333,6-3-2,1,0.333,5-4-2,1,0.333,3
DCDCAS,3-5-2,1,1.0,---,0,0.0,---,0,0.0,1
